Seat,Labour_Prob,Conservative_Prob,Reform_Prob,Restore_Prob,LibDem_Prob,Green_Prob,Oth_Prob,SNP_Prob,Plaid_Prob,PredictedWinner,WinnerProb
Edinburgh West,0.0013,0.0,0.001,0.0,0.9756,0.001,0.0,0.0211,0.0,LibDem,0.9756
Edmonton and Winchmore Hill,0.9315,0.0545,0.0,0.0,0.0,0.014,0.0,0.0,0.0,Labour,0.9315
Ellesmere Port and Bromborough,0.5716,0.0,0.4284,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.5716
Eltham and Chislehurst,0.6677,0.2447,0.0873,0.0,0.0,0.0003,0.0,0.0,0.0,Labour,0.6677
Ely and East Cambridgeshire,0.0032,0.4267,0.2354,0.0,0.3347,0.0,0.0,0.0,0.0,Conservative,0.4267
Enfield North,0.9249,0.0635,0.0019,0.0,0.0,0.0097,0.0,0.0,0.0,Labour,0.9249
Epping Forest,0.2536,0.606,0.1398,0.0,0.0005,0.0001,0.0,0.0,0.0,Conservative,0.606
Epsom and Ewell,0.0011,0.4583,0.0643,0.0,0.4763,0.0,0.0,0.0,0.0,LibDem,0.4763
Erewash,0.264,0.0184,0.7174,0.0,0.0,0.0002,0.0,0.0,0.0,Reform,0.7174
Erith and Thamesmead,0.963,0.0057,0.0125,0.0,0.0,0.0188,0.0,0.0,0.0,Labour,0.963
Esher and Walton,0.0,0.2598,0.0069,0.0,0.7333,0.0,0.0,0.0,0.0,LibDem,0.7333
Exeter,0.6202,0.0019,0.1777,0.0,0.0001,0.2001,0.0,0.0,0.0,Labour,0.6202
Exmouth and Exeter East,0.1526,0.1061,0.697,0.0,0.0443,0.0,0.0,0.0,0.0,Reform,0.697
Falkirk,0.1991,0.0,0.0203,0.0,0.0,0.0007,0.0,0.7799,0.0,SNP,0.7799
Fareham and Waterlooville,0.0241,0.2552,0.7117,0.0,0.009,0.0,0.0,0.0,0.0,Reform,0.7117
Farnham and Bordon,0.0006,0.4549,0.2384,0.0,0.3061,0.0,0.0,0.0,0.0,Conservative,0.4549
Faversham and Mid Kent,0.0908,0.4508,0.4578,0.0,0.0,0.0006,0.0,0.0,0.0,Reform,0.4578
Feltham and Heston,0.8514,0.1368,0.0078,0.0,0.0,0.0028,0.0012,0.0,0.0,Labour,0.8514
Filton and Bradley Stoke,0.6792,0.177,0.1411,0.0,0.0,0.0027,0.0,0.0,0.0,Labour,0.6792
Finchley and Golders Green,0.3134,0.6857,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,Conservative,0.6857
Folkestone and Hythe,0.2358,0.1876,0.5762,0.0,0.0,0.0004,0.0,0.0,0.0,Reform,0.5762
Forest of Dean,0.1608,0.3485,0.4902,0.0,0.0,0.0005,0.0,0.0,0.0,Reform,0.4902
Frome and East Somerset,0.0004,0.04,0.4903,0.0,0.4586,0.0107,0.0,0.0,0.0,Reform,0.4903
Fylde,0.2154,0.4224,0.3622,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.4224
Gainsborough,0.0555,0.5548,0.3897,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.5548
Gateshead Central and Whickham,0.5502,0.0006,0.447,0.0,0.0001,0.0021,0.0,0.0,0.0,Labour,0.5502
Gedling,0.6124,0.0309,0.3565,0.0,0.0,0.0002,0.0,0.0,0.0,Labour,0.6124
Gillingham and Rainham,0.3578,0.1554,0.4867,0.0,0.0,0.0001,0.0,0.0,0.0,Reform,0.4867
Glasgow East,0.3875,0.0,0.0013,0.0,0.0,0.05,0.0,0.5612,0.0,SNP,0.5612
Glasgow North,0.306,0.0,0.0,0.0,0.0,0.5879,0.0,0.1061,0.0,Green,0.5879
Glasgow North East,0.4021,0.0,0.0018,0.0,0.0,0.052,0.0,0.5441,0.0,SNP,0.5441
Glasgow South,0.2395,0.0,0.0003,0.0,0.0,0.0782,0.0,0.682,0.0,SNP,0.682
Glasgow South West,0.3063,0.0,0.0003,0.0,0.0,0.0478,0.0,0.6456,0.0,SNP,0.6456
Glasgow West,0.4563,0.0,0.0002,0.0,0.0,0.0712,0.0,0.4723,0.0,SNP,0.4723
Glastonbury and Somerton,0.0,0.3142,0.1295,0.0,0.5563,0.0,0.0,0.0,0.0,LibDem,0.5563
Glenrothes and Mid Fife,0.2048,0.0,0.0521,0.0,0.0001,0.0,0.0,0.743,0.0,SNP,0.743
Gloucester,0.3415,0.0518,0.6066,0.0,0.0001,0.0,0.0,0.0,0.0,Reform,0.6066
Godalming and Ash,0.0,0.4696,0.1178,0.0,0.4126,0.0,0.0,0.0,0.0,Conservative,0.4696
Goole and Pocklington,0.0841,0.5214,0.3945,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.5214
