Seat,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid,Restore
Mid Cheshire,30.639682642683486,16.573438312193943,33.21913102900324,4.978271379491479,7.746869598234692,2.1879932,0.0,0.0,4.654613838393161
Mid Derbyshire,25.350336153116523,27.98724938738225,28.137499373776812,4.307171165211406,9.41331980496906,0.748327326663502,0.0,0.0,4.056096788880447
Mid Dorset and North Poole,7.581731270104646,19.79568408553373,28.273501913558864,31.85365586816852,8.528997204500836,1.70270052,0.0,0.0,2.263729138133412
Mid Leicestershire,23.283399671691164,35.78549674782986,23.153481000930952,4.408209811189796,9.530693180487411,0.0,0.0,0.0,3.8387195878708167
Mid Norfolk,21.083381118544118,28.446044010727494,31.957458884663133,5.500740831627443,8.068222494882328,0.0,0.0,0.0,4.84415265955549
Mid Sussex,13.419657496531105,22.645184089623005,23.09032668672355,29.871068691912377,7.582824895181213,0.595,0.0,0.0,2.6959381400287588
Middlesbrough South and East Cleveland,29.761745426560722,15.829782227226858,36.41617122678822,4.7694198159810135,6.16893515087978,3.89832765,0.0,0.0,3.0556185025634104
Middlesbrough and Thornaby East,35.71001889666451,14.051613548282619,28.74644392231881,2.861186355422268,8.101663925852128,5.865,0.0,0.0,4.564073351459679
Milton Keynes Central,31.893745887828274,28.304556794284363,15.500051211869893,9.186766226580074,12.112285340073463,0.34,0.0,0.0,2.6625945393639254
Milton Keynes North,31.389130930227434,27.571913342707347,20.484749756312524,6.492273100433917,10.978343918621801,0.0,0.0,0.0,3.0835889516969783
Mitcham and Morden,43.76228166376829,16.45920256334446,11.801905804736958,7.73509490117563,15.783262903467358,2.72,0.0,0.0,1.6382521635073013
Morecambe and Lunesdale,26.31575405573564,21.969703216569172,29.61513999156235,8.15885382957346,9.668622660015906,0.0,0.0,0.0,4.271926246543476
New Forest East,14.83859154243977,26.393900798981566,31.939809029068847,12.396390583543608,9.02258694235638,1.228956849823337,0.0,0.0,4.179764253786493
New Forest West,17.13011792876636,26.26163615970622,29.92779585610222,13.787964804591244,8.24507915108171,0.7889150730760696,0.0,0.0,3.8584910266761803
Newark,23.40272830913286,30.614764093723217,28.714498140710575,4.713727418636453,6.423182255909361,2.191077185,0.0,0.0,3.9400225968875304
Newbury,6.371809342246795,25.09493780857789,25.25249427763645,29.850262799136104,9.685069807493168,0.51,0.0,0.0,3.1354259649095875
Newcastle upon Tyne Central and West,31.0674604994371,11.137326614239154,21.042326601608913,4.2658582706148085,17.827282023473146,10.795,0.0,0.0,3.7647459906268836
Newcastle upon Tyne East and Wallsend,33.140448140338016,7.209687678662407,27.65882853484716,6.175855651937118,19.365676526875646,1.9549999999999998,0.0,0.0,4.39450346733967
Newcastle upon Tyne North,34.41591415238734,14.106572869266273,19.96284984485831,9.940254924234187,17.894460144637048,1.02,0.0,0.0,2.659948064616843
Newcastle-under-Lyme,26.605669850879014,23.89914662719197,29.5434688760184,4.170034417552311,10.899102553376439,0.0,0.0,0.0,4.882577674981863
Newton Abbot,12.100475133637175,16.69453754748289,32.482286040633895,23.532776020136684,7.7204939984917065,3.085031412311361,0.0,0.0,4.384399847306293
Newton Aycliffe and Spennymoor,29.00290478697285,17.636519168881314,33.76831081999566,3.980569470175029,8.955772353346973,0.9788856900000041,0.0,0.0,5.677037710628181
Normanton and Hemsworth,29.19468031600753,17.121688789754423,34.327860081339146,3.9934130179255276,9.117874684973378,0.0,0.0,0.0,6.1444831099999995
North Bedfordshire,20.261346942058886,37.61824255048093,21.596278951831703,8.702079132725698,8.380237398177098,0.0,0.0,0.0,3.441815024725688
North Cornwall,4.533847925000001,22.134369698553407,26.415101779348145,32.587015774565145,9.553351950103595,0.41215207499999995,0.0,0.0,4.364160797429707
North Cotswolds,13.02228631732471,27.673545312271926,24.5537312244092,21.70026018679644,9.123411074400181,0.7352226579674356,0.0,0.0,3.191543226830109
North Devon,5.367496128875553,21.18493813664219,28.4362303406773,30.364715553711747,9.038332605594851,1.3018535450000002,0.0,0.0,4.306433689498345
North Dorset,7.292210903143854,27.900461111320393,27.75108328266538,25.004328621959687,7.305692356822188,0.81454565,0.0,0.0,3.931678074088503
North Durham,27.6298480635327,14.211159673962776,33.6222894350793,8.199992124461268,8.193525974726002,2.4248499550000004,0.0,0.0,5.618334773237951
North East Cambridgeshire,15.684076234504694,24.501900966466888,39.521476874773114,5.5842060661758035,6.8046181985274075,2.3532816050000003,0.0,0.0,5.450440054552092
North East Derbyshire,25.701447868738857,23.770724231299567,33.749263328772344,3.8682516582234903,8.156422294637581,0.17,0.0,0.0,4.583890618328164
North East Hampshire,7.881009052269739,32.42593066573471,21.005896115030197,29.405489680866147,5.654469042598427,0.9960057849999999,0.0,0.0,2.631199658500776
North East Hertfordshire,24.785961461194844,30.233142432006275,23.01735811192148,8.507498866570625,9.95785260165586,0.0,0.0,0.0,3.49818652665092
North East Somerset and Hanham,26.440571900399934,25.724960364401923,26.798939310122112,6.428180609375956,10.297288664186581,0.6646485900000115,0.0,0.0,3.645410561513503
North Herefordshire,5.031484840000001,24.293350087014748,19.86468171287931,2.524,44.194515159999995,0.17,0.0,0.0,3.9219682001059413
North Norfolk,4.787419612447044,26.807922277478916,27.237591968728022,29.920519190835744,6.96606762368404,0.0,0.0,0.0,4.1804793268262275
North Northumberland,26.479621456912387,19.08133939089121,29.81445001060535,8.7303733844004,6.190864954590374,5.426520757002178,0.0,0.0,4.2768300455981025
North Shropshire,5.430503848196673,20.42858250253341,25.310822850374766,33.67226840925842,10.984560009636725,0.255,0.0,0.0,3.9182623800000003
North Somerset,24.99703827837349,27.815998059451637,25.138780762456815,10.402156786926364,8.449300066746543,0.17,0.0,0.0,2.9267260460451583
North Warwickshire and Bedworth,24.383579560905428,27.026768905617075,31.658249277872862,2.725544446438498,8.652036914948827,0.0,0.0,0.0,5.553820894217314
North West Cambridgeshire,24.069821344524208,31.36826463852469,24.70286620441077,6.142964436803873,9.66689331041162,0.0,0.0,0.0,4.049190065324838
North West Essex,22.126978573300377,34.05243189850314,21.296519296256605,8.923643399733546,7.826879137635663,2.5252527650000003,0.0,0.0,3.148294929570681
North West Hampshire,20.771391658610344,26.934139167212894,28.07970835638053,11.870684995484268,7.9820549864528045,0.765,0.0,0.0,3.597020835859166
North West Leicestershire,24.12190884690902,27.51487969478662,29.977063129105247,3.3458511919977756,7.502837217600346,2.804845910134076,0.0,0.0,4.732614009466917
North West Norfolk,18.027009972177378,23.55863687555912,35.085767967776434,11.448943566362654,6.9428306990879625,0.0,0.0,0.0,4.9368109190364535
Northampton North,32.40573332891803,18.962352927579623,24.76005040481808,5.018776882930006,9.930330648790017,5.27,0.0,0.0,3.6527558069642465
Northampton South,28.037523078830738,27.31825589813903,24.96801535825248,6.323525750070653,8.88857725021196,0.765,0.0,0.0,3.699102664495144
Norwich North,31.502653884477002,14.502193297728457,33.05215236645256,4.027564787464579,11.72566815064827,0.68,0.0,0.0,4.5097675132291375
Norwich South,33.15823375539588,9.089465257690133,22.71112218721314,6.99374835575888,23.59967123891877,1.4449999999999998,0.0,0.0,3.0027592050231977
Nottingham East,37.64591871690243,9.689161118823403,11.676703084166231,4.928421020298607,26.177180079612814,7.734999999999999,0.0,0.0,2.147615980196508
Nottingham North and Kimberley,35.25755624810799,16.722753194988286,26.648324886798175,3.7725326457497816,13.256317252461319,0.0,0.0,0.0,4.342515771894453
Nottingham South,30.89303732526269,17.442128825212077,15.314055398199859,5.70406215293456,22.32907385567833,5.44,0.0,0.0,2.8776424427124816
Nuneaton,26.49748552142812,21.46724434631289,32.84503543458366,2.985148636782563,9.301445910347688,1.9549999999999998,0.0,0.0,4.948640150545079
Old Bexley and Sidcup,22.255170478205464,32.10907678139686,29.9024756764599,3.6786535356455294,8.179960606936588,0.765,0.0,0.0,3.1096629213556697
Oldham East and Saddleworth,28.74089223065268,17.397381657263203,22.92228739906455,6.937526590504419,6.172266737940072,13.855,0.0,0.0,3.9746453845750653
"Oldham West, Chadderton and Royton",26.906867365590035,10.542979102044264,19.23729463500966,2.9929149780929754,11.822847383240035,24.905,0.0,0.0,3.592096536023029
Orpington,20.066010169829852,32.1926751309402,28.19532469435226,8.47051133771821,7.877534013154629,0.425,0.0,0.0,2.772944654004853
Ossett and Denby Dale,26.30524902096823,27.166827380615363,27.813168174445792,3.6836944168724326,9.015604991530466,1.53,0.0,0.0,4.485456015567714
Oxford East,36.12618750303721,7.401129505790298,15.894257052999972,7.983564106915114,19.984513574106693,10.765260524999997,0.0,0.0,1.845087732150723
Oxford West and Abingdon,10.365,24.612515946997025,10.44756308962969,34.7474054350369,16.637924440075626,1.275,0.0,0.0,1.914591088260763
Peckham,47.37542194798675,5.0889287283189635,5.804995998593679,8.159523778417551,28.94388711179225,3.4849999999999994,0.0,0.0,1.1422424348908045
Pendle and Clitheroe,27.276120313682952,26.88609859831977,26.233767081440597,3.7261675267225836,4.897703501402888,6.885,0.0,0.0,4.095142978431209
