Seat,Tribe,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Falkirk,Reforms,0.0,8.211779,7.9,0.0,0.0,0.0,12.598255324809244,0
Glasgow East,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,9.1138885,0
Glasgow East,Left,0.0,0.0,0.0,0.0,0.0,0.0,12.14504874841551,0
Glasgow East,Progressives,13.420227045069426,0.0,0.0,0.0,0.0,0.0,0.0,0
Glasgow East,Average,25.02240182608,0.0,0.0,0.0,0.0,0.0,0.0,0
Glasgow East,Liberal,5.457371128850575,0.0,0.0,2.5,7.7,1.3,0.5765374320376386,0
Glasgow East,Blues,0.0,1.8185648,0.0,0.0,0.0,0.0,0.0,0
Glasgow East,Reforms,0.0,2.9814352,6.7,0.0,0.0,0.0,11.264525319546848,0
Glasgow North,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,6.8226192,0
Glasgow North,Left,0.0,0.0,0.0,0.0,1.0421133430727672,0.0,25.1773808,0
Glasgow North,Progressives,17.514687367497437,0.0,0.0,0.0,0.0,0.0,0.0,0
Glasgow North,Average,18.270049512887454,0.0,0.0,0.0,0.0,0.0,0.0,0
Glasgow North,Liberal,6.415263119615112,0.0,0.0,3.3,2.4245974547119657,1.6,0.0,0
Glasgow North,Blues,0.0,3.6912818,0.0,0.0,0.0,0.0,0.0,0
Glasgow North,Reforms,0.0,0.20871819999999985,4.8,0.0,8.733289202215266,0.0,0.0,0
Glasgow North East,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,5.0594627,0
Glasgow North East,Left,0.0,0.0,0.0,0.0,0.0,0.0,14.24844384303108,0
Glasgow North East,Progressives,12.752854934627166,0.0,0.0,0.0,0.0,0.0,0.0,0
Glasgow North East,Average,30.3168825148864,0.0,0.0,0.0,0.0,0.0,0.0,0
Glasgow North East,Liberal,2.830262550486431,0.0,0.0,1.7,2.8360245633521837,2.7,0.0,0
Glasgow North East,Blues,0.0,1.1490657,0.0,0.0,0.0,0.0,0.0,0
Glasgow North East,Reforms,0.0,2.3509343,6.7,0.0,4.3639754366478165,0.0,12.992093456968917,0
Glasgow South,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,7.6656424,0
Glasgow South,Left,0.0,0.0,0.0,0.0,0.0,0.0,8.156646583771295,0
