Seat,County,Region, ,Muslim,Left,Progressives,Average,Liberal,Blues,Reforms,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Brent East,London (Brent),London,0,27.2215655,13.15834134751367,37.41008192649451,0.0,9.293606596320839,8.7740854,4.142319229670975,51.2,16.7,5.4,7.0,9.9,9.8,0,0
Brent West,London (Brent),London,0,17.8909412,15.50394950156936,26.06750095837944,0.0,8.123289240858352,29.924000000000003,2.4903190991928414,41.7,32.5,5.0,7.3,6.8,6.7,0,0
Brentford and Isleworth,London (Hounslow; Richmond upon Thames),London,0,17.2580946,9.907380325631268,31.656739831535724,1.159337911982817,18.199145525433202,15.5012118,6.318090005416998,44.2,22.5,8.7,8.5,8.9,7.1,0,0
Brentwood and Ongar,Essex,Eastern,0,1.4665865,7.7244311392309415,10.270881903048659,20.653011272419405,32.09227306216474,11.8718623,15.920953823136237,22.9,36.7,24.3,12.0,3.7,0.4,0,0
Bridgwater,Somerset,South West,0,0.5634853000000001,8.096240383219625,6.6452697819686914,31.813049040683836,16.649352441146295,4.376411,31.85619205298156,27.2,30.6,22.2,14.4,4.3,1.3,0,0
Bridlington and The Wolds,East Riding of Yorkshire,Yorkshire and the Humber,0,0.47731149999999994,6.375548045878811,6.852028186147108,28.148354762725475,17.649064982497904,9.7896,30.708092522750704,27.3,34.6,24.1,7.2,3.7,3.1,0,0
Brigg and Immingham,Lincolnshire,Yorkshire and the Humber,0,0.713626,7.089468619412321,5.284266770192909,23.820350058718006,23.39513752901866,8.8109911,30.886159922658106,29.8,37.4,24.9,3.4,4.5,0.0,0,0
Brighton Kemptown and Peacehaven,East Sussex,South East,0,2.8770039,16.48357031757106,13.8254325923032,32.789439528699745,14.009142416079886,2.2487287,17.766682545346104,43.4,16.3,8.5,9.6,19.4,2.7,0,0
Brighton Pavilion,East Sussex,South East,0,2.550015,22.595524109131908,19.36170741678917,22.17474867118294,20.13650564139342,2.3939176,10.78758156150256,27.7,7.6,5.4,3.1,55.0,1.2,0,0
Bristol Central,Somerset,South West,0,6.0697962,34.76810885321703,30.351501538926186,4.024033935433863,15.774044701469789,2.6274401,6.38507467095313,32.6,4.6,3.1,2.7,56.6,0.5,0,0
Bristol East,Somerset,South West,0,10.991477199999999,12.57965619183178,21.18402558305138,16.437445158114244,19.849089576575818,0.723255,18.235051290426775,43.1,9.2,10.4,5.6,29.4,2.2,0,0
Bristol North East,Bristol; Gloucestershire,South West,0,8.3197472,13.27455302473664,15.886504069322033,23.529377567105897,18.287203853349155,0.7240289999999999,19.97858528548627,45.3,14.8,12.9,4.7,18.7,3.7,0,0
Bristol North West,Bristol,South West,0,3.6475361,15.638759078880602,13.328658279503108,27.50501645676286,20.484235634142852,2.1392254,17.256569050710578,49.6,14.0,10.0,8.6,17.3,0.5,0,0
Bristol South,Bristol,South West,0,2.5611713000000003,11.258986045200361,11.733924197075025,28.359503193380903,21.238866354573986,0.6186775999999999,24.228871309769715,42.7,11.4,14.3,6.3,25.0,0.4,0,0
Broadland and Fakenham,Norfolk,Eastern,0,0.2582401,6.88932136355075,5.7839162281686995,18.556980552423042,25.04605223242986,18.1861001,25.27938942342765,31.5,33.0,17.9,11.2,6.5,0.0,0,0
Bromley and Biggin Hill,London (Bromley),London,0,2.9757572999999997,7.904658609647755,16.397993912319716,26.208087755673105,30.474725053651444,4.9798575,11.058919868707981,33.4,34.0,17.5,9.3,5.5,0.2,0,0
Bromsgrove,Worcestershire,West Midlands,0,0.8660758,7.539112783443902,7.1837257710348865,27.5118972801109,32.38414242227895,4.830319,19.684726943131352,26.8,32.8,19.0,14.7,3.3,3.4,0,0
Broxbourne,Hertfordshire,Eastern,0,3.9568611,9.174833285010143,14.454805768236795,27.592732834880934,23.630609622404513,2.8874971,18.302660289467607,30.2,36.8,20.4,6.3,5.7,0.6,0,0
Broxtowe,Nottinghamshire,East Midlands,0,2.2475832000000002,11.15231355197162,10.292656946193961,28.07930124524762,24.70787013534931,1.2445126000000002,22.27576232123749,40.9,23.3,17.6,8.0,7.3,3.0,0,0
Buckingham and Bletchley,Buckinghamshire,South East,0,4.9406441,8.859753203607013,15.143714066516623,17.472159012651446,26.78389990046988,9.1862612,17.61356851675505,36.9,31.9,15.7,9.0,5.4,1.0,0,0
Burnley,Lancashire,North West,0,18.8453288,10.48660108741492,7.345094897298048,23.40264676111798,13.678534113688581,1.1298928,25.111901540480467,31.7,20.3,19.5,23.1,3.8,1.5,0,0
Burton and Uttoxeter,Staffordshire,West Midlands,0,9.5321456,8.846045105587079,8.554913266081757,26.007643894226874,17.669017093830504,3.1132713,26.27696374027379,35.6,30.6,21.1,3.6,4.6,4.5,0,0
Bury North,Greater Manchester,North West,0,12.271348099999999,9.438787878787863,8.868545069507675,29.00519169184767,18.21977191214955,1.3434597,20.85289564770725,43.1,27.9,16.2,2.9,3.8,6.1,0,0
Bury South,Greater Manchester,North West,0,7.3736778,10.33022046789252,12.897754394053468,12.50606442897464,21.591848960435616,17.050811700000004,18.249622248643746,45.6,23.4,16.3,4.3,6.4,4.0,0,0
