embedding,algorithm,k,distortion,silhouette,davies_bouldin,calinski_harabasz,n_noise,eps_percentile,degenerate
UMAP,KMeans,12,302.9874029159546,0.4249420166015625,0.8587712989974271,797.7121395746238,0,,
UMAP,HAC,12,335.3973779678345,0.4294946789741516,0.8467631082117699,715.1814695116226,0,,
UMAP,GMM,12,319.46435594558716,0.4166730046272278,0.8859950515610086,753.6616416646881,0,,
UMAP,KMeans,13,277.55555152893066,0.42268770933151245,0.8563536748667536,801.6768033859502,0,,
UMAP,HAC,13,312.4648151397705,0.42512455582618713,0.8250691398188595,706.3486986744483,0,,
UMAP,GMM,13,296.14642667770386,0.42151105403900146,0.8592905645575064,748.112583679057,0,,
UMAP,KMeans,14,256.75647830963135,0.42912185192108154,0.8196790195764914,802.5139095254258,0,,
UMAP,HAC,14,289.7048816680908,0.3989899456501007,0.8916105157114068,705.8366846135989,0,,
UMAP,GMM,14,271.63723039627075,0.4106288254261017,0.8770569815963494,755.946600299066,0,,
UMAP,KMeans,15,243.09780263900757,0.4256846606731415,0.8561952948400867,788.263403916896,0,,
UMAP,HAC,15,271.22275400161743,0.39548006653785706,0.8664510886048102,701.9528876414598,0,,
UMAP,GMM,15,251.28091096878052,0.4158782958984375,0.8568193473130742,761.1579390283143,0,,
UMAP,KMeans,16,228.0258617401123,0.42508742213249207,0.8553330917594808,785.7844595988204,0,,
UMAP,HAC,16,254.29460191726685,0.4036831557750702,0.8827419768250009,700.3703803478135,0,,
UMAP,GMM,16,234.42891693115234,0.41560065746307373,0.8808279868945801,763.2003209098208,0,,
UMAP,KMeans,17,215.31320762634277,0.40114739537239075,0.91915912919215,781.1709583322959,0,,
UMAP,HAC,17,237.4219012260437,0.41001877188682556,0.8789326904015068,704.8491337961478,0,,
UMAP,GMM,17,229.00380158424377,0.3854146897792816,0.9205521215008531,732.1721019035924,0,,
UMAP,KMeans,18,203.61891412734985,0.4169103801250458,0.8978183894073517,778.2552285331989,0,,
UMAP,HAC,18,221.53657269477844,0.39928770065307617,0.8899484457646142,712.3895522698247,0,,
UMAP,GMM,18,209.4770007133484,0.40800631046295166,0.9136953281806224,755.4810604666524,0,,
UMAP,KMeans,19,193.8885097503662,0.4126031696796417,0.8672314837963384,772.3581023401774,0,,
UMAP,HAC,19,206.09292912483215,0.38948339223861694,0.8871446846117181,724.6038419992122,0,,
UMAP,GMM,19,200.34783685207367,0.40159863233566284,0.8940885086726921,746.358867810646,0,,
UMAP,KMeans,20,187.3831728696823,0.4163382947444916,0.8663744535505356,756.9933491303043,0,,
UMAP,HAC,20,197.7882297039032,0.39338597655296326,0.9059092443114674,715.4756371095648,0,,
UMAP,GMM,20,192.46187913417816,0.3832758069038391,0.9214580864232289,736.16772929955,0,,
UMAP,DBSCAN,6,768.392352104187,0.4563444256782532,0.7927859866310247,578.9269132755503,27,80.0,False
UMAP,DBSCAN,4,1222.604121208191,0.47374358773231506,0.6126136211793347,542.6747212546957,22,85.0,False
UMAP,DBSCAN,3,1704.0420484542847,0.44076523184776306,0.7674790405688267,514.0544620156593,15,90.0,False
UMAP,DBSCAN,2,3878.895136833191,0.311445027589798,0.641404579203545,113.18165204341457,3,95.0,False
