Seat,Nation,County,Region,DominantHandTribe,Archetype_1,Archetype_2,Archetype_3,Archetype_4,Archetype_5,Hand_Muslim,Hand_Left,Hand_Progressives,Hand_Average,Hand_Liberal,Hand_Blues,Hand_Reforms
Broxbourne,england,Hertfordshire,Eastern,Average,3.609997597430312,42.35179034962405,20.54538411690364,30.972221208374744,2.5206067276672517,3.9568611,9.174833285010145,14.454805768236795,27.59273283488093,23.630609622404517,2.8874971,18.302660289467607
Broxtowe,england,Nottinghamshire,East Midlands,Average,2.9390434071353764,32.61699728571829,1.92863172310682,40.86266913611327,21.65265844792624,2.2475832,11.15231355197162,10.29265694619396,28.07930124524762,24.70787013534931,1.2445126000000002,22.27576232123749
Buckingham and Bletchley,england,Buckinghamshire,South East,Liberal,6.882718771691134,32.141087000128174,12.85993022660901,36.791557867471305,11.324706134100387,4.9406441,8.859753203607013,15.143714066516624,17.472159012651446,26.78389990046988,9.1862612,17.61356851675505
Burnley,england,Lancashire,North West,Reforms,16.08363707825496,52.24955230665499,0.0,20.112480492797204,11.554330122292859,18.8453288,10.48660108741492,7.345094897298048,23.40264676111798,13.67853411368858,1.1298928,25.111901540480467
Burton and Uttoxeter,england,Staffordshire,West Midlands,Reforms,7.49404309035875,51.317047105770165,6.00376302295366,25.683222191865084,9.501924589052335,9.5321456,8.846045105587079,8.554913266081757,26.007643894226877,17.669017093830504,3.1132713,26.27696374027379
Bury North,england,Greater Manchester,North West,Average,9.92340338719931,41.503255995418456,2.8604286676758344,33.383207699597875,12.32970425010852,12.2713481,9.438787878787863,8.868545069507675,29.00519169184767,18.21977191214955,1.3434597,20.85289564770725
Bury South,england,Greater Manchester,North West,Liberal,4.5928850370582825,38.57332135140676,27.623717926386192,24.548357341976068,4.6617183431727005,7.3736778,10.33022046789252,12.897754394053468,12.50606442897464,21.591848960435616,17.050811700000004,18.249622248643742
Bury St Edmunds and Stowmarket,england,Suffolk,Eastern,Average,0.0,42.737463485073015,4.2597467910575055,40.79847886748154,12.204310856387936,0.5011421,7.887817703768615,8.9491794169326,26.80751294256837,23.071899687115277,8.406207600000002,24.376240549615154
Calder Valley,england,West Yorkshire,Yorkshire and the Humber,Liberal,0.3771308914620606,34.14604156735297,1.0478706452254554,46.66876010456721,17.760196791392303,1.750684,7.843673134736264,8.739630261018133,24.22948211529992,27.42638264986332,7.299254899999999,22.710892939082367
Camborne and Redruth,england,Cornwall,South West,Reforms,0.0,48.00969868923799,0.0,38.750410489266294,13.23989082149571,0.2321005,9.05673274094326,7.112415672835488,27.835117692637624,18.68505365636148,8.9794,28.09917973722215
