Seat,County,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6,Segment_7,Segment_8,Segment_9,Segment_10,Segment_11,Segment_12
Bolton South and Walkden,Greater Manchester,North West,10,2,8,False,0.0001422675252649482,90.28440975079255,0.0029171916987332878,1.330067173863581e-08,0.0004959675330113573,2.816165308187757e-26,6.5008558555098725e-09,1.1814271047622782e-07,0.07387361630427222,9.638161068201793,2.4146758119274412e-29,0.0
Bolton West,Greater Manchester,North West,9,10,1,False,1.736006063611701e-07,0.00593758688444855,0.005216394355178986,0.01042297060095645,7.828461626415167e-05,0.00140521101353847,2.5290543704305306e-08,7.879612382495804e-06,7.1012757042294376e-06,99.97692437268215,6.8129149489238e-11,0.0
Bootle,Merseyside,North West,8,8,9,False,3.9684454772800155e-09,1.2385609268390145e-05,0.014918667989365877,2.58235690766691e-26,0.00018462559939453021,1.1126466878224088e-23,5.337812284249715e-17,99.98484163661959,4.267847714610524e-05,1.7366550753559172e-09,1.9172731553701385e-45,0.0
Boston and Skegness,Lincolnshire,East Midlands,9,5,1,False,0.0018753229142927108,0.0007496530988685306,2.551196221454133e-06,9.687236746474635e-05,99.97219947085458,0.024855449737209555,2.2785974595444127e-17,2.2870889545955457e-09,1.3171410972259955e-07,0.00022054582984196096,7.165057396461037e-22,0.0
Bournemouth East,Dorset,South West,6,4,3,False,1.3075509054481822e-06,3.025835590869454e-06,0.001982134882393376,99.98722847618114,1.40721373617381e-06,4.955723581260795e-05,3.9767556826732093e-10,4.7939396764318065e-05,3.714281607814572e-05,0.010649008489970723,8.679563971308628e-17,0.0
Bournemouth West,Dorset,South West,3,3,7,False,0.00017069788979806792,2.5966982491371624e-05,94.71372779005826,4.709065704462184,0.0019552393406311033,1.7023119459930606e-06,7.779235139767727e-09,0.001180068335595328,1.3849821041437587e-05,0.5738589730189013,3.608293636443903e-21,0.0
Bracknell,Berkshire,South East,6,10,3,False,7.89242501165635e-06,9.789822308623965e-06,0.0002497415259632692,24.552231036447562,6.767265427010191e-06,7.188916164762412e-05,1.9661827406466618e-05,4.254372732181623e-08,0.0005284615340693203,75.44687470042344,1.702352366750896e-08,0.0
Bradford East,West Yorkshire,Yorkshire and the Humber,5,2,6,False,1.434213497046204e-17,99.99989675682492,4.7558297851145337e-26,1.0176934052349644e-80,0.00010324317512702824,1.3427557197133426e-89,4.305429188832981e-37,2.7458388014681595e-56,3.6046509397148067e-19,1.0090426932905101e-22,1.0540747143470442e-102,0.0
Bradford South,West Yorkshire,Yorkshire and the Humber,10,2,8,False,4.025530991246259e-07,99.99638127895707,2.203147217357867e-07,1.3715016462678772e-15,0.0010897759837782664,4.0566049511191725e-26,9.379457855056539e-14,1.9214175033220104e-11,4.1745211712221885e-05,0.002486576960406306,1.5105390811318292e-33,0.0
Bradford West,West Yorkshire,Yorkshire and the Humber,5,2,6,False,1.4403020123539492e-25,99.58774774616754,1.739753679347639e-38,5.55997074455983e-128,0.41225225383218445,1.0217247897049357e-145,5.720430705540591e-56,1.099321714470849e-76,5.274805739447407e-25,5.88071989488575e-49,1.7684347511654453e-153,0.0
