Seat,County,Region,Superwealthy,Rural,LGBT,White,WhiteBritish,WhiteOther,Asian,Indian,Pakistani,Bangladeshi,Chinese,Black,Arab,Mixed,OtherEthnicity,Christian,NoReligion,Muslim,Hindu,Jewish,Sikh,Buddhist,Veterans,Age0to17,Age18to24,Age65plus,NoQualifications,Degrees,PublicSector,ManagerialProfessional,Intermediate,Routine,SocialRent,PrivateRent,OwnerOccupation,y2019_Turnout,y2024_Turnout,y2019_CON_share,y2024_CON_share,swing_CON,y2019_GRN_share,y2024_GRN_share,swing_GRN,y2019_LAB_share,y2024_LAB_share,swing_LAB,y2019_LD_share,y2024_LD_share,swing_LD,y2019_OTHER_share,y2024_OTHER_share,swing_OTHER,y2019_REF_share,y2024_REF_share,swing_REF
Barking,London (Barking and Dagenham),London,0.5,0.0,2.4049745000000002,42.2842099,27.746308400000004,14.5379015,28.0601722,5.1017816,7.9489747,11.7452323,0.6830274,21.6722963,0.7689663,4.3208586,3.6624917,43.7003049,17.7467567,27.5624738,2.8524241999999997,0.10163209999999999,1.7725832000000001,0.39307709999999996,2.49736588427825,28.838070912829,13.153872701276939,10.39688409012472,22.299665728539058,34.13632992288388,20.0,22.1843,17.0563,29.544500000000003,32.8020266,25.5542852,39.296523,57.10010161894289,45.70021799594077,26.824154660035592,11.771801409107109,-15.052353250928483,1.8284209756454326,13.674370151054088,11.845949175408656,60.93761427631098,44.48556624722428,-16.452048029086704,3.3057851239669422,2.782575321435425,-0.5232098025315173,0.0,13.104147819173726,13.104147819173726,7.104024964041054,14.181539052005373,7.077514087964319
Barnsley North,South Yorkshire,Yorkshire and the Humber,0.0,10.1,2.6361152999999997,96.7732674999999,92.4365084,4.336759099999909,1.0038270999999999,0.19808230000000002,0.131098,0.0182,0.27846360000000003,0.7195979,0.10143350000000001,0.9186428,0.584677799999999,51.311004800000006,42.0267943,0.5789474,0.1741627,0.022000000000000002,0.09380000000000001,0.1732057,7.515870945299589,20.6902633508776,8.395561693859866,24.40366113438982,25.627675168572274,22.69950161243037,26.0,24.0152,16.8612,40.6719,19.5751435,17.296486299999998,62.3999826,57.90008070604775,47.03227780327367,23.972571942446045,8.356372309860681,-15.616199632585364,2.362859712230216,4.892394427278148,2.5295347150479324,38.53642086330935,50.441806255759744,11.905385392450391,3.5701438848920866,3.621185016533854,0.05104113164176738,2.018884892086331,3.4178999295278367,1.3990150374415058,29.53911870503597,29.270342061039734,-0.2687766439962367
Barnsley South,South Yorkshire,Yorkshire and the Humber,0.0,1.8,2.8180088999999997,96.7853711999999,91.6891563,5.096214899999907,0.8382466999999999,0.167838,0.1583018,0.0105,0.17355980000000001,0.8000712,0.0915,0.9698368,0.6064576,49.719162700000005,43.7448148,0.6036332,0.1630668,0.0305,0.0868,0.1792781,7.1705717164355,21.128639315257498,8.620689655172404,23.8807197218829,27.37259688739701,20.19201427196545,15.0,21.196,16.7829,42.3322,22.3370276,19.0915133,57.7075607,49.400081657381435,46.16477833484663,22.653833848778927,9.255458639758281,-13.398375209020646,2.0608936760157834,4.335556695741405,2.274663019725622,41.815079449717395,46.74476939741178,4.929689947694385,3.4952543457395757,3.340744541360242,-0.15450980437933381,0.7438413138530447,3.1127073713015223,2.3688660574484777,29.231097365895277,33.21076335442677,3.9796659885314902
Barrow and Furness,Cumbria,North West,0.0,31.3,2.3702392,97.37845750000001,95.7762381,1.602219400000005,1.1946913,0.288427,0.0677,0.0749,0.27918909999999997,0.29561689999999996,0.1036695,0.8108802,0.3202464,54.3526683,38.4519056,0.40134259999999994,0.13754450000000001,0.039,0.027700000000000002,0.4095542,8.31683168316831,18.4763528253832,8.215921537389221,28.887035746290866,17.59484645078803,27.6855744879644,19.0,30.3423,16.3705,37.4456,10.8206132,16.1452539,72.715945,65.30055714304353,56.30067207168765,53.05213099686294,31.2948532720684,-21.75727772479454,1.5385537594661018,3.472205774377679,1.9336520149115772,38.1940975483046,43.90469197792567,5.710594429621075,4.507762703059124,3.9790625518107103,-0.528700151248414,0.0,0.6868619881101821,0.6868619881101821,2.7074549923072313,16.662324435707347,13.954869443400117
Basildon and Billericay,Essex,Eastern,0.5,0.4,2.0404545,87.2084238,81.53780689999999,5.670616900000002,4.0868809,1.8501045,0.4643762,0.4505005,0.388522,5.0850121999999995,0.1406079,2.7390798000000003,0.8806497,46.583351099999994,43.999704,1.8574878,1.1692552,0.2155352,0.1868588,0.3339408,5.06936787945608,24.4068192223788,9.260842715310421,21.90869792408908,20.26504628261358,25.5529678799844,13.0,32.020700000000005,19.650000000000002,29.6563,24.0145181,13.0249012,61.901589599999994,60.90025216419268,54.80043711297289,65.88051992401768,30.635742094767828,-35.24477782924985,2.9773973918425716,5.039882252397683,2.062484860555111,21.595202014812283,30.588263222865823,8.99306120805354,8.424220434123749,5.441078719969614,-2.9831417141541348,1.1226602352037223,1.341278131231602,0.21861789602787973,0.0,26.953755578767446,26.953755578767446
Basingstoke,Hampshire,South East,1.0,6.1,3.1037588,85.59588069999991,77.9411765,7.654704199999907,7.6855959,3.2011198,0.48716640000000005,0.3699193,0.6671272,2.3903876,0.2490366,2.8621028,1.4660438,42.639533899999996,44.507257300000006,2.0085979,2.9910840000000003,0.0927,0.3071973,1.1488089,8.23113880174626,21.2807924577486,8.3703114996578,20.16469081837636,15.58371407350723,32.29839526456753,10.0,36.9172,17.951800000000002,30.048099999999998,20.685343200000002,16.8286423,60.7112301,66.4007057694054,62.40001019004433,52.687520759656906,29.471922268264304,-23.2155984913926,3.9213770735233777,7.283267672334606,3.3618905988112284,28.65321115257615,42.70754659209211,14.054335439515956,13.280318868330044,6.483088040172283,-6.797230828157761,1.4575721459135227,1.165567780522158,-0.29200436539136465,0.0,12.888607646614547,12.888607646614547
Bassetlaw,Nottinghamshire,East Midlands,0.0,33.0,2.1838384,96.2736591,91.4580194,4.815639699999997,1.3003388,0.4635183,0.1823364,0.035500000000000004,0.2140054,0.661209299999999,0.08059999999999999,1.2302908,0.5345217,54.9058559,37.915779,0.6314658,0.241838,0.0393,0.1602656,0.21400740000000001,8.84271827655661,20.0220329953134,7.616574460878383,27.149147566896183,21.95085022129047,24.870719776380152,16.0,27.419700000000002,16.5832,39.6457,15.7839424,16.5918595,67.0461761,62.90007651916937,57.40049114908421,54.40988317217946,28.316769909532507,-26.093113262646956,0.0,4.338428628726771,4.338428628726771,28.00721521907838,41.16939257542671,13.162177356348334,6.732806174885164,4.447613530014706,-2.285192644870458,0.0,0.0,0.0,10.850095433856996,21.7277953562993,10.877699922442304
Bath,Somerset,South West,1.0,0.9,5.087096,88.4916499,79.021218,9.470431899999998,5.1341139,1.4363411,0.20602849999999998,0.2909787,1.7527072000000001,1.4041186,0.4804078,3.6479743,1.3220977999999999,39.159855900000004,49.0826181,1.5144857,0.7040259,0.2187265,0.1171749,0.7264845,6.24242856124848,16.214288395840303,25.70682856886815,20.31207993547802,9.846323099666519,45.2584774412395,23.0,37.5923,15.055,19.019,16.344806300000002,25.5231716,57.17000410000001,77.7005150343584,69.10067191179004,32.089106125606584,15.913151880324122,-16.175954245282462,0.2566987833180955,12.366507375857054,12.10980859253896,12.518461213868767,18.003324329939748,5.484863116070981,53.40741261692102,41.31103261998753,-12.096379996933493,0.599549898023771,4.514855599418242,3.915305701394471,1.1287713622617623,7.891128194473302,6.762356832211539
Battersea,London (Wandsworth),London,6.2,0.0,5.6318263,67.9002797,46.126650600000005,21.7736291,9.0929127,2.0982938,1.9972819,0.3801723,1.8255614999999998,12.3611086,1.3526419,6.3913019,4.2544398999999995,43.5972782,37.3832634,8.5611438,1.2038678,0.4876078,0.2396716,0.6308598000000001,2.6688453159041297,16.2646438815357,10.50122779141989,10.55591093869296,9.237279838121866,65.22122257155601,7.000000000000001,55.1648,13.8431,14.7746,22.5448299,38.006954900000004,37.0014245,76.30043347782595,64.70062801467658,35.381842019010165,23.24455205811138,-12.137289960898784,2.48370297534506,9.003440805403338,6.519737830058278,46.354564987799996,48.81483369440551,2.460268706605511,15.142576204523106,10.250201775625504,-4.892374428897602,0.0,2.686801750138057,2.686801750138057,0.6373138133216796,6.0001699163162145,5.3628561029945345
Beaconsfield,Buckinghamshire,South East,3.5,3.8,1.8314784,79.59077909999999,72.1547328,7.436046299999999,13.000124399999999,8.5140346,2.0678718,0.3358348,0.5441768,1.6066172,0.34101750000000003,3.4671835,2.3352958999999998,48.251806200000004,32.0977289,3.6269967,3.4155341999999997,0.3866447,5.4182086,0.4747541,6.252067482633141,21.0875585317959,7.230360879995898,28.09325710785555,13.796360109247772,42.60280266482885,4.0,44.9619,20.295199999999998,19.1441,12.2347193,15.390096100000001,71.2504453,72.80007745719107,65.6000439844405,55.49940151615906,38.750366676444706,-16.749034839714355,3.6764007371800957,4.142396178183799,0.46599544100370327,9.90063268291756,15.11964128567238,5.219008602754819,0.0,27.32053807149143,27.32053807149143,30.92356506374328,1.9800528014080376,-28.94351226233524,0.0,12.68700498679965,12.68700498679965
