Seat,Nation,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,DominantHandTribe,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6
Birmingham Perry Barr,england,West Midlands,4,3,3,True,Muslim,1.9668918911060523e-114,0.03815858038440349,99.96184141961571,5.037919969737315e-20,1.6242116525137144e-80,2.497914772773081e-159
Birmingham Selly Oak,england,West Midlands,3,2,5,False,Left,3.2000124037217935e-29,99.96827847535758,0.03125895416211669,0.0004625704801425227,2.150749451646257e-20,2.3601952166859314e-48
Birmingham Yardley,england,West Midlands,4,3,3,False,Muslim,7.481692412717475e-108,0.014923885239358049,99.98507611475713,3.401160771446011e-12,1.8846398286845108e-72,1.9176416852720852e-135
Bishop Auckland,england,North East,6,1,2,False,Reforms,93.29258235551653,0.10808358429572232,1.5906999976386232e-06,0.01746747193461828,1.5895935786127986e-05,6.581849101617271
Blackburn,england,North West,4,3,3,False,Muslim,2.934756925571423e-68,4.103309228755808,95.89669077095276,2.915123231710871e-10,3.3987903440744795e-57,6.489879041969817e-101
Blackley and Middleton South,england,North West,4,2,4,False,Progressives,1.1699152567411537e-33,94.88225804844299,5.117737565560265,4.385996855436451e-06,1.664927422038859e-38,3.4971805121192544e-64
Blackpool North and Fleetwood,england,North West,1,6,2,False,Average,0.000686843728404856,0.0024341516858885845,1.207680686089596e-07,0.0019706952912825326,4.634334871352459e-10,99.99490818806298
Blackpool South,england,North West,6,4,4,False,Average,0.0009284301244489678,4.522108196465434,0.0019318314132585014,95.475026094951,1.357749201503578e-16,5.44704573885007e-06
Blaydon and Consett,england,North East,1,1,2,False,Reforms,99.31994649251874,0.027961424813169045,4.5558187049033057e-08,0.020403819567174387,0.6010259481125569,0.03066226943008329
Blyth and Ashington,england,North East,6,1,2,False,Average,99.88409006400401,0.019609120532978155,4.413313157441018e-08,0.09629838864869826,1.156368966019699e-08,2.3711174579575883e-06
