Nation,Party,Target,Feature,Pearson_r
england,OTHER,swing,Age65plus,-0.416
england,OTHER,swing,NoQualifications,0.291
england,OTHER,swing,Degrees,-0.007
england,OTHER,swing,PublicSector,0.158
england,OTHER,swing,ManagerialProfessional,-0.287
england,OTHER,swing,Intermediate,-0.332
england,OTHER,swing,Routine,0.006
england,OTHER,swing,SocialRent,0.328
england,OTHER,swing,PrivateRent,0.345
england,OTHER,swing,OwnerOccupation,-0.399
england,REF,swing,Superwealthy,-0.257
england,REF,swing,Rural,0.256
england,REF,swing,LGBT,-0.439
england,REF,swing,White,0.473
england,REF,swing,WhiteBritish,0.493
england,REF,swing,WhiteOther,-0.407
england,REF,swing,Asian,-0.383
england,REF,swing,Indian,-0.242
england,REF,swing,Pakistani,-0.243
england,REF,swing,Bangladeshi,-0.24
england,REF,swing,Chinese,-0.434
england,REF,swing,Black,-0.383
england,REF,swing,Arab,-0.431
england,REF,swing,Mixed,-0.464
england,REF,swing,OtherEthnicity,-0.48
england,REF,swing,Christian,0.393
england,REF,swing,NoReligion,0.279
england,REF,swing,Muslim,-0.406
england,REF,swing,Hindu,-0.239
england,REF,swing,Jewish,-0.164
england,REF,swing,Sikh,-0.088
england,REF,swing,Buddhist,-0.313
england,REF,swing,Veterans,0.452
england,REF,swing,Age0to17,-0.009
england,REF,swing,Age18to24,-0.38
england,REF,swing,Age65plus,0.468
england,REF,swing,NoQualifications,0.24
england,REF,swing,Degrees,-0.532
england,REF,swing,PublicSector,-0.132
england,REF,swing,ManagerialProfessional,-0.198
england,REF,swing,Intermediate,0.407
england,REF,swing,Routine,0.423
england,REF,swing,SocialRent,-0.342
england,REF,swing,PrivateRent,-0.438
england,REF,swing,OwnerOccupation,0.468
scotland,CON,2024_share,Superwealthy,0.123
scotland,CON,2024_share,LGBT,-0.346
scotland,CON,2024_share,White,0.333
scotland,CON,2024_share,WhiteBritish,0.276
scotland,CON,2024_share,WhiteOther,-0.124
scotland,CON,2024_share,Asian,-0.354
scotland,CON,2024_share,Indian,-0.291
scotland,CON,2024_share,Pakistani,-0.309
scotland,CON,2024_share,Bangladeshi,-0.176
scotland,CON,2024_share,Chinese,-0.281
scotland,CON,2024_share,Black,-0.231
scotland,CON,2024_share,Arab,-0.298
scotland,CON,2024_share,Mixed,-0.235
scotland,CON,2024_share,OtherEthnicity,-0.299
scotland,CON,2024_share,Christian,-0.194
scotland,CON,2024_share,NoReligion,0.333
scotland,CON,2024_share,Muslim,-0.348
scotland,CON,2024_share,Hindu,-0.237
scotland,CON,2024_share,Jewish,-0.018
scotland,CON,2024_share,Sikh,-0.373
scotland,CON,2024_share,Buddhist,-0.047
scotland,CON,2024_share,Veterans,0.495
scotland,CON,2024_share,Age0to17,0.017
scotland,CON,2024_share,Age18to24,-0.297
scotland,CON,2024_share,Age65plus,0.496
scotland,CON,2024_share,NoQualifications,-0.126
scotland,CON,2024_share,Degrees,-0.008
scotland,CON,2024_share,PublicSector,-0.253
scotland,CON,2024_share,ManagerialProfessional,0.097
scotland,CON,2024_share,Intermediate,0.413
scotland,CON,2024_share,Routine,0.102
scotland,CON,2024_share,SocialRent,-0.376
scotland,CON,2024_share,PrivateRent,-0.013
scotland,CON,2024_share,OwnerOccupation,0.271
scotland,GRN,2024_share,Superwealthy,0.322
scotland,GRN,2024_share,LGBT,0.727
scotland,GRN,2024_share,White,-0.683
scotland,GRN,2024_share,WhiteBritish,-0.694
scotland,GRN,2024_share,WhiteOther,0.59
scotland,GRN,2024_share,Asian,0.646
scotland,GRN,2024_share,Indian,0.556
scotland,GRN,2024_share,Pakistani,0.415
scotland,GRN,2024_share,Bangladeshi,0.361
scotland,GRN,2024_share,Chinese,0.673
scotland,GRN,2024_share,Black,0.552
scotland,GRN,2024_share,Arab,0.622
scotland,GRN,2024_share,Mixed,0.704
scotland,GRN,2024_share,OtherEthnicity,0.691
scotland,GRN,2024_share,Christian,-0.307
scotland,GRN,2024_share,NoReligion,0.01
scotland,GRN,2024_share,Muslim,0.558
scotland,GRN,2024_share,Hindu,0.538
scotland,GRN,2024_share,Jewish,0.22
scotland,GRN,2024_share,Sikh,0.46
scotland,GRN,2024_share,Buddhist,0.607
scotland,GRN,2024_share,Veterans,-0.54
scotland,GRN,2024_share,Age0to17,-0.461
scotland,GRN,2024_share,Age18to24,0.526
